-----小学四则运算题-----
63 - 12 = 	14 × 82 = 	16 × 01 = 	61 ÷ 49 = 	79 × 32 =
97 ÷ 81 = 	16 - 34 = 	53 ÷ 57 = 	57 + 98= 	85 ÷ 34 =
74 + 22=    66 - 73 = 	87 + 43= 	01 × 37 = 	22 × 87 =
80 + 57=    98 + 06= 	59 ÷ 98 = 	32 + 44= 	38 ÷ 63 =
68 - 31 = 	87 ÷ 50 = 	85 + 48= 	36 - 61 = 	09 + 31=
66 - 05 = 	85 - 93 = 	88 - 52 = 	98 + 80= 	58 - 05 =
21 - 06 = 	82 - 25 = 	03 ÷ 82 = 	99 ÷ 53 = 	33 ÷ 69 =
64 ÷ 56 = 	84 - 18 = 	09 - 04 = 	38 - 44 = 	94 ÷ 70 =
27 × 11 = 	43 - 36 = 	87 ÷ 94 = 	75 - 45 = 	78 - 31 =
17 + 39= 	      × 70 =	72 + 21= 	91 × 95 = 	41 × 58 = 	
98 ÷ 44 = 	26 × 17 = 	99 × 40 = 	97 + 74= 	94 × 09 =
19 - 91 = 	63 - 66 = 	53 + 14= 	35 ÷ 26 = 	67 - 80 =
47 + 70= 	29 × 10 = 	88 ÷ 96 = 	12 + 86= 	92 - 02 =
71 - 82 = 	31 - 48 = 	50 × 24 = 	21 - 78 = 	73 × 74 =
88 ÷ 46 = 	34 + 11= 	98 × 62 = 	06 - 38 = 	43 × 44 =
52 + 67= 	39 × 11 = 	65 ÷ 88 = 	23 + 91= 	83 ÷ 15 =
78 - 36 = 	35 + 10= 	15 ÷ 90 = 	69 ÷ 48 = 	41 - 12 =
33 + 67= 	57 × 81 = 	14 + 39= 	43 ÷ 50 = 	91 ÷ 68 =
61 + 84= 	71 ÷ 38 = 	78 × 11 = 	95 × 86 = 	56 + 17=
66 - 15 = 	10 + 91= 	42 × 52 = 	36 ÷ 06 = 	48 + 69=
-----结束---总共出了100道四则运算题---
